ROOM No,FLOOR,LOCATION ON FLOOR,Entrance From House No,ROOM SIZE,NOTES ON ROOM ,key
1,Basement,back,4,SINGLE,,bn12pg-45
2,Basement,back,4,SINGLE,,bn12pg-45
3,Basement,front,4,SINGLE,,bn12pg-45
4,Basement,front,4,DOUBLE,,bn12pg-45
5,Basement,back,4,SINGLE,,bn12pg-45
6,Basement,back,4,SINGLE,,bn12pg-45
7,Ground,front,4,DOUBLE,,bn12pg-45
8,Ground,back,4,SINGLE,,bn12pg-45
9,Ground,front,5,DOUBLE,,bn12pg-45
10,Ground,back,5,SINGLE,,bn12pg-45
11,Ground,back,5,SINGLE,,bn12pg-45
12,1st,back,4,SINGLE,,bn12pg-45
13,1st,front,4,DOUBLE,,bn12pg-45
14,1st,back,5,SINGLE,,bn12pg-45
15,1st,front,5,DOUBLE,,bn12pg-45
16,2nd,front,4,SINGLE,,bn12pg-45
17,2nd,back,4,SINGLE,,bn12pg-45
18,2nd,front,4,SINGLE,,bn12pg-45
19,2nd,front,5,SINGLE,,bn12pg-45
20,2nd,front,5,SINGLE,,bn12pg-45
21,2nd,back,5,SINGLE,,bn12pg-45
22,3rd,back,5,SINGLE,,bn12pg-45
23,3rd,front,4,SINGLE,,bn12pg-45
24,3rd,front,4,SINGLE,,bn12pg-45
25,4th,back,5,SINGLE,,bn12pg-45
26,4th,front,5,SINGLE,,bn12pg-45
27,4th,front,5,SINGLE,,bn12pg-45
28,4th,back,4,SINGLE,,bn12pg-45
29,4th,front,4,SINGLE,,bn12pg-45
30,4th,back,4,DOUBLE,,bn12pg-45
31,4th,front,4,DOUBLE,,bn12pg-45
